iter	Passed	Remaining
0	1	141
1	2	129
2	3	129
3	5	127
4	6	128
5	7	125
6	9	128
7	11	129
8	12	126
9	13	125
10	15	122
11	16	120
12	17	117
13	18	115
14	19	112
15	21	111
16	22	110
17	23	108
18	25	107
19	26	106
20	27	104
21	29	102
22	30	101
23	31	99
24	32	97
25	33	96
26	35	94
27	36	93
28	37	92
29	39	91
30	40	89
31	54	115
32	55	111
33	55	108
34	56	105
35	57	102
36	58	99
37	59	96
38	60	94
39	60	91
40	61	89
41	62	86
42	63	84
43	64	81
44	65	79
45	65	77
46	66	75
47	67	73
48	68	71
49	69	69
50	70	67
51	71	65
52	71	63
53	72	62
54	73	60
55	74	58
56	75	57
57	76	55
58	77	53
59	78	52
60	79	50
61	79	48
62	80	47
63	82	46
64	82	44
65	83	43
66	84	41
67	85	40
68	86	38
69	87	37
70	88	36
71	89	34
72	89	33
73	90	31
74	91	30
75	92	29
76	93	27
77	94	26
78	94	25
79	95	23
80	96	22
81	97	21
82	97	20
83	98	18
84	98	17
85	99	16
86	100	14
87	100	13
88	101	12
89	102	11
90	102	10
91	103	8
92	103	7
93	104	6
94	105	5
95	105	4
96	106	3
97	106	2
98	107	1
99	108	0
