iter	Passed	Remaining
0	129	129196
1	130	65082
2	131	43666
3	132	32951
4	133	26517
5	134	22232
6	135	19177
7	136	16894
8	137	15117
9	138	13729
10	139	12572
11	140	11604
12	142	10784
13	143	10075
14	144	9480
15	145	8967
16	146	8485
17	147	8060
18	148	7674
19	149	7328
20	150	7026
21	151	6752
22	153	6510
23	154	6277
24	155	6062
25	156	5851
26	156	5655
27	157	5473
28	158	5306
29	159	5146
30	159	4996
31	160	4853
32	161	4719
33	161	4593
34	162	4473
35	162	4361
36	163	4253
37	164	4152
38	164	4061
39	166	3988
40	167	3913
41	168	3832
42	168	3757
43	169	3683
44	170	3611
45	170	3541
46	171	3475
47	172	3412
48	172	3352
49	173	3293
50	173	3236
51	174	3182
52	175	3130
53	175	3080
54	176	3032
55	177	2986
56	177	2940
57	178	2898
58	179	2856
59	179	2819
60	180	2783
61	181	2746
62	182	2711
63	182	2675
64	183	2640
65	184	2605
66	184	2572
67	185	2541
68	185	2509
69	186	2478
70	187	2448
71	187	2419
72	188	2391
73	188	2363
74	189	2336
75	190	2310
76	190	2284
77	191	2259
78	191	2234
79	192	2210
80	192	2188
81	193	2166
82	193	2142
83	194	2125
84	195	2106
85	196	2087
86	196	2067
87	197	2048
88	198	2030
89	198	2011
90	199	1993
91	200	1975
92	200	1959
93	201	1942
94	202	1925
95	202	1909
96	203	1893
97	203	1877
98	204	1861
99	205	1846
100	205	1831
101	206	1817
102	207	1805
103	208	1792
104	208	1780
105	209	1768
106	210	1757
107	211	1744
108	211	1731
109	212	1719
110	213	1708
111	214	1697
112	214	1686
113	215	1676
114	216	1666
115	217	1655
116	217	1644
117	218	1633
118	219	1623
119	219	1612
120	220	1602
121	221	1591
122	222	1584
123	223	1576
124	224	1570
125	225	1562
126	225	1551
127	226	1542
128	227	1533
129	228	1527
130	229	1520
131	230	1513
132	241	1571
133	241	1562
134	242	1553
135	243	1544
136	243	1536
137	244	1527
138	245	1520
139	246	1512
140	246	1504
141	247	1495
142	249	1493
143	249	1485
144	250	1477
145	251	1469
146	251	1462
147	252	1456
148	254	1454
149	256	1453
150	257	1446
151	257	1438
152	258	1433
153	259	1426
154	260	1419
155	261	1413
156	261	1406
157	262	1398
158	263	1391
159	263	1385
160	264	1378
161	265	1371
162	265	1365
163	266	1358
164	267	1353
165	268	1348
166	269	1344
167	270	1340
168	271	1335
169	272	1330
170	273	1324
171	273	1318
172	274	1312
173	275	1306
174	275	1300
175	276	1294
176	277	1288
177	277	1282
178	278	1276
179	278	1270
180	279	1265
181	280	1259
182	280	1253
183	281	1249
184	282	1245
185	283	1241
186	284	1237
187	285	1233
188	286	1228
189	286	1223
190	287	1219
191	288	1214
192	289	1209
193	290	1205
194	291	1203
195	292	1200
196	293	1197
197	297	1205
198	301	1215
199	303	1213
200	304	1210
201	305	1206
202	306	1203
203	307	1200
204	308	1196
205	309	1194
206	316	1213
207	318	1212
208	319	1210
209	321	1208
210	322	1207
211	323	1203
212	325	1202
213	326	1198
214	327	1196
215	329	1195
216	330	1192
217	331	1188
218	332	1184
219	332	1180
220	333	1176
221	334	1172
222	335	1167
223	336	1164
224	337	1161
225	338	1157
226	338	1153
227	339	1149
228	340	1146
229	341	1142
230	342	1139
231	343	1138
232	344	1135
233	345	1131
234	346	1128
235	347	1125
236	348	1122
237	349	1118
238	350	1114
239	350	1111
240	351	1107
241	352	1104
242	353	1100
243	354	1097
244	354	1093
245	355	1090
246	357	1088
247	358	1086
248	359	1083
249	360	1080
250	360	1077
251	361	1074
252	362	1071
253	363	1067
254	364	1064
255	365	1060
256	365	1057
257	366	1053
258	367	1050
259	367	1046
260	368	1042
261	369	1040
262	370	1036
263	371	1035
264	372	1033
265	373	1030
266	374	1027
267	375	1025
268	376	1022
269	376	1018
270	377	1016
271	379	1016
272	381	1016
273	383	1016
274	388	1025
275	390	1023
276	391	1020
277	391	1017
278	392	1014
279	394	1013
280	394	1010
281	395	1007
282	396	1004
283	397	1001
284	398	998
285	398	995
286	399	993
287	401	991
288	402	990
289	403	987
290	404	985
291	405	983
292	406	981
293	407	978
294	408	975
295	408	972
296	409	969
297	410	966
298	411	963
299	411	960
300	412	958
301	413	955
302	414	954
303	416	952
304	417	951
305	418	949
306	419	946
307	420	944
308	421	943
309	423	942
310	424	941
311	425	938
312	426	935
313	427	933
314	428	930
315	429	928
316	430	927
317	431	926
318	432	923
319	433	921
320	434	919
321	435	916
322	436	914
323	436	911
324	437	909
325	438	907
326	439	905
327	441	903
328	442	901
329	443	899
330	444	898
331	445	896
332	447	895
333	449	896
334	451	895
335	452	893
336	453	891
337	453	888
338	454	886
339	455	884
340	456	882
341	457	879
342	457	877
343	459	875
344	460	873
345	461	872
346	462	871
347	464	869
348	464	867
349	465	864
350	466	863
351	467	860
352	468	858
353	469	856
354	470	854
355	471	852
356	471	849
357	472	847
358	473	845
359	474	844
360	475	842
361	476	840
362	477	838
363	478	836
364	479	833
365	480	831
366	481	829
367	481	827
368	482	825
369	483	823
370	484	820
371	484	818
372	485	816
373	486	814
374	487	812
375	488	810
376	489	809
377	490	807
378	491	805
379	492	803
380	492	800
381	493	798
382	494	796
383	494	793
384	495	791
385	496	789
386	497	787
387	497	785
388	498	782
389	499	780
390	499	778
391	500	776
392	501	773
393	501	771
394	502	769
395	503	768
396	504	766
397	505	765
398	506	763
399	507	760
400	507	758
401	508	756
402	509	754
403	510	752
404	510	750
405	511	748
406	511	745
407	512	743
408	513	741
409	514	739
